StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Q262,Q264,Q272_First Click,Q272_Last Click,Q272_Page Submit,Q272_Click Count,Q265,Q266,Q273_First Click,Q273_Last Click,Q273_Page Submit,Q273_Click Count,Q251,Q252,Q253,Q254,Q271,Q134,Q196_1,Q106,Q108,Q108_2_TEXT,Q268,Q268_2_TEXT,Q121,Q359,Q358,Q250,UserAgent,ResponseID
4/12/2022 3:02,4/12/2022 3:09,0,100,401,1,4/12/2022 3:09,R_V44klY2YbN6BmKJ,,,,,anonymous,EN,"My cousin's family lives in California, him and his wife are both doctors and live in a multi-million dollar house, they take luxury vacations multiple times a year and own nice and expensive things. I'm having trouble thinking of something the can't do but their financial resources allow them to invest and build more wealth, they live affluent lives. ","My sister's roommate comes from a not very well off family, her budget is limited and she can't afford to go on spring break and she works at a restaurant to support herself. She has a scholarship that allows her to pay for part of school but she has to stay focused on her work and keep up her grades. ",21.105,281.183,291.225,14,,,,,,,7,3,5,2,1,2,7,28,0,,1,,31,4,5,5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",R_V44klY2YbN6BmKJ
4/12/2022 3:07,4/12/2022 3:10,0,100,191,1,4/12/2022 3:10,R_2AEEVXkyd0EmZm4,,,,,anonymous,EN,"They have been able to buy a house, have two cars, take vacations and can afford if emergencies come up. They are able to live a less stressful and more carefree life than many people I know.","They are stuck at home living with their grandparents while they finish university. They can't deal with any emergencies that come up, and can barely afford their necessities. They live a more restricted and stressful life.",6.437,90.552,102.093,4,,,,,,,7,7,7,1,1,1,4,37,0,,1,,36,4,3,5,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:107.0) Gecko/20100101 Firefox/107.0,R_2AEEVXkyd0EmZm4
4/12/2022 3:06,4/12/2022 3:11,0,100,274,1,4/12/2022 3:11,R_dj30agScV2bTai5,,,,,anonymous,EN,,,,,,,"Reach certain things on shelves and has an easy time putting things up around the house. They have a harder time being in a house that wasn't designed for them: doorways, chairs, etc.",They have an easier time getting into crawlspaces and not need to bend over as much which is better for their back. They have a harder time socially in general.,24.853,102.876,151.674,2,6,5,6,1,2,4,6,27,1,,1,,5,3,5,2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",R_dj30agScV2bTai5
4/12/2022 3:08,4/12/2022 3:11,0,100,198,1,4/12/2022 3:11,R_Qp6k2pjNo5KGGid,,,,,anonymous,EN,,,,,,,"Well that's me, I'm the tallest person I know at 6'3.  The height is great because it helps me look thinner, helps me reach higher shelves, and people in supermarkets ask me to get things for them.  ","The shortest is my girlfriend at 5'3.  She gets lost in crowds, can't reach shelves, and has to use a step stool at my sink.  ",11.884,106.964,107.405,3,1,1,1,7,1,4,7,39,1,,1,,10,4,6,3,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",R_Qp6k2pjNo5KGGid
4/12/2022 3:02,4/12/2022 3:13,0,100,614,1,4/12/2022 3:13,R_3jYzQrZdsROvaS8,,,,,anonymous,EN,,,,,,,"I dont think it influences their lives, they do have to duck and have problems sitting in the back sit of a car.",Unable to reach thinks on top shelves ,50.02,50.02,89.637,1,6,6,6,1,2,4,4,34,0,,1,,29,1,2,4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",R_3jYzQrZdsROvaS8
4/12/2022 3:08,4/12/2022 3:13,0,100,299,1,4/12/2022 3:13,R_2DMmacEJqrrlJzz,,,,,anonymous,EN,,,,,,,"The person who is tallest has the benefit of being able to reach things without any problem and is taken seriously or even admired for their height. However, they find issue with discomfort in certain vehicles or amusement park rides.",The person who is shortest has less benefit to their height. They are taken less seriously and need assistance with physical tasks more often. ,28.044,161.769,176.853,16,6,6,6,2,1,2,4,30,0,,1,,18,4,4,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.62",R_2DMmacEJqrrlJzz
4/12/2022 3:10,4/12/2022 3:15,0,100,284,1,4/12/2022 3:15,R_2TvBIToMN5KDsz9,,,,,anonymous,EN,The person I know with the most economic resources can do pretty much anything. They have enough money that they don't have to worry about whether or not their bills will get paid or if they have enough food. They can go out and do things just for fun and not worry about how much they cost. ,The person I know with the least economic resources has to constantly worry about money. They know what's in their bank account down to the penny and will end up using all of it and probably needing more. They can't pay all their bills and have no way to fix an emergency if one arises because there's nothing to pay it with.,17.123,89.987,175.647,2,,,,,,,7,6,7,1,1,1,2,35,0,,1,,31,2,3,5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36 OPR/92.0.0.0",R_2TvBIToMN5KDsz9
4/12/2022 3:09,4/12/2022 3:16,0,100,373,1,4/12/2022 3:16,R_xmXnoV5tzyb6ozD,,,,,anonymous,EN,,,,,,,"Harder time bending over.  Can reach the top shelves in a grocery store easily.  Can't reach the lower, to lowest, shelf in a grocery store.",Can't reach the top shelves in a grocery store but can reach the lower shelves easier.,13.055,133.11,150.9,4,7,1,6,2,1,4,5,37,1,,1,,44,3,5,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",R_xmXnoV5tzyb6ozD
4/12/2022 3:11,4/12/2022 3:19,0,100,427,1,4/12/2022 3:19,R_37SoRCAnBUUNl61,,,,,anonymous,EN,,,,,,,"The tallest person I know id my son. He is 6'6 and wears a size 15 shoe.  I am tall in height for a woman at 6"" tall but he towers over me. His height is basically a bonus for most things but he cannot comfortably sleep in a twin bed.",The shortest person I know is my friend. She is just tall enough to be at my shoulder line. There are things she cannot do like reach items high up on grocery shelves. I think her height limits her abilities.,6.328,147.956,217.522,2,4,3,3,3,1,5,7,56,0,,1,,11,5,5,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Safari/605.1.15",R_37SoRCAnBUUNl61
4/12/2022 3:15,4/12/2022 3:20,0,100,292,1,4/12/2022 3:20,R_2VIIEpRyfsaBtDy,,,,,anonymous,EN,,,,,,,My son in law. He can reach the things on the tallest shelves without a ladder. But he has trouble getting through some doorways. ,They are able to fit into tight spaces easier. But they can't reach things on shelves very easy.,42.188,94.708,132.287,9,5,3,4,3,1,4,5,57,0,,1,,18,2,2,2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",R_2VIIEpRyfsaBtDy
4/12/2022 3:15,4/12/2022 3:20,0,100,317,1,4/12/2022 3:20,R_33jc8yhd04wPMqi,,,,,anonymous,EN,,,,,,,The tallest person I know has an easier time with most things in their life. They are generally able to do anything that they try to do. Their height makes them appear more mature and imposing than they may appear otherwise. There have been few setbacks that they've encountered due to their height.,"The shortest person I know has many issues due to things not generally being built to accommodate them in normal every-day situations. Driving a car is generally hard for them, they can't reach most things without assistance, and people tend to adopt negative thoughts about them before even starting a conversation.",29.03,146.747,196.475,5,7,6,5,2,1,2,8,41,1,,1,,14,6,5,4,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",R_33jc8yhd04wPMqi
4/12/2022 3:11,4/12/2022 3:21,0,100,648,1,4/12/2022 3:21,R_3fxCnfwt2yXu7mq,,,,,anonymous,EN,"Has money invests well-retired before 50. Is 75 years old now-they have no personality, no integrity is entitled. They can't be young again that bothers them . Their big money makes them feel superior .","Always a good person.  Works for the homeless, earns little money. In their sixties now, can never buy a home in Los Angeles can never retire. Works over 40 hours a week just to pay rent. Never has peace of mind always struggling. Has integrity.",16.427,165.288,370.377,2,,,,,,,7,6,4,2,1,2,6,56,0,,1,,5,3,5,5,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:107.0) Gecko/20100101 Firefox/107.0,R_3fxCnfwt2yXu7mq
4/12/2022 3:17,4/12/2022 3:22,0,100,296,1,4/12/2022 3:22,R_1fcLcfeyAxtpm4k,,,,,anonymous,EN,,,,,,,"Being tall affects his ability to get into smaller vehicles, find pants that fit well, and fit into chairs. I think being tall is an advantage, socially, as generally people accord more respect to taller persons. It's nice to be able to see over everyone, but you don't always fit in public spaces made for ""average"" sized persons. He's not so tall that he doesn't like, fit in doorways or anything.","I think she probably has trouble reaching things, and getting ""stepped on"" in crowds of people. She also has to strive to make herself seen, more, as she can get lost in the mix just by nature of being smaller. Perhaps she compensates for her size by being louder and more exuberant, though not all small persons I've known have reacted that way. ",53.029,230.101,230.495,2,7,7,7,1,1,1,6,33,0,,1,,17,2,5,4,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:107.0) Gecko/20100101 Firefox/107.0,R_1fcLcfeyAxtpm4k
4/12/2022 3:19,4/12/2022 3:22,0,100,196,1,4/12/2022 3:22,R_3hGWSWUwBiqeJLT,,,,,anonymous,EN,,,,,,,They can reach many high shelves but can't fit well in a car. It influences their life by making it hard to find pants. ,They can not reach the high shelves in the store. But can fit in small spaces. They have to shop in the kid department. ,12.503,12.503,65.859,1,6,5,5,2,1,2,7,28,0,,1,,24,5,5,2,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",R_3hGWSWUwBiqeJLT
4/12/2022 3:20,4/12/2022 3:24,0,100,221,1,4/12/2022 3:24,R_2icL0ils9POvSvv,,,,,anonymous,EN,They recycle cans and plastic they are retired and save for emergency outcomes,They just buy items to just buy without saving anything ,24.908,88.316,89.528,5,,,,,,,4,1,5,1,1,4,8,44,0,,1,,36,3,2,4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",R_2icL0ils9POvSvv
4/12/2022 3:19,4/12/2022 3:25,0,100,382,1,4/12/2022 3:25,R_24BmBWOXM5PvLIi,,,,,anonymous,EN,,,,,,,"Cheryl is the tallest. She can do most things normal height people can do. But her extreme height makes her stand out in a crowd, especially as a woman, so she often can't go somewhere without people remarking on her height or looking at her. It's also harder to buy clothing that fits. ","Leslie is the shortest. She can do most things normal height people can do.  However, it's difficult to reach things on higher shelves. It's harder to see over the steering wheel in cars. It can be hard to sit on a barstool or at a countertop and not have feet dangling. It makes it more difficult to work on home projects like painting.",2.836,202.305,262.863,5,6,5,3,4,1,3,7,58,0,,1,,11,5,5,2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",R_24BmBWOXM5PvLIi
4/12/2022 3:19,4/12/2022 3:25,0,100,364,1,4/12/2022 3:25,R_1MZhPmQyBudrmBP,,,,,anonymous,EN,The person I know that has the most economic resources is my mother. They pretty much can do anything they want since they are retired and enough money to go anywhere.,The person I know that has the least economic resources is my friend. I see them working a lot and mostly spending their time either on low-cost or free activities. I do not see them traveling or doing anything extravagant.,18.497,202.08,207.262,4,,,,,,,6,4,5,3,1,3,6,39,1,,1,,31,4,5,4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",R_1MZhPmQyBudrmBP
4/12/2022 3:21,4/12/2022 3:27,0,100,403,1,4/12/2022 3:27,R_3PZTeK7D5RpEonj,,,,,anonymous,EN,,,,,,,"My boyfriend is 6'4"". He is 72. He can reach things I can't at 5'6"" and can play sports beter than anyone I know. However, he has severe back pain and has 2 operations to alleviate the pain. he gets very uncomfortable when sitting too long or in an unpadded chair. he can see over people's heads which is sometimes quite funny.","My closest girlfriend is 5 feet tall. She can't reach things or see far ahead if anyone taller is in front of her. Clothes are a problem. However, she does elicit a protective trait in men and they often help her reach things, put things in her car and hold the door for her.",9.117,270.796,271.401,4,2,1,2,3,1,7,4,70,0,,1,,5,2,6,3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",R_3PZTeK7D5RpEonj
4/12/2022 3:25,4/12/2022 3:29,0,100,259,1,4/12/2022 3:29,R_umjfVOTXvy056Y9,,,,,anonymous,EN,,,,,,,They are able to reach many things that people of regular height cannot. They are not able to walk through doors without bending their head down. Height has made things easier and harder for them in different ways.,They are unable to reach many things and must use ladders and stepstools to reach things that people of regular height can reach. They are able to maneuver around people better and crawl in tight spaces. I feel like overall their shorter height has negatively impacted what they are able to do. ,19.503,101.383,131.469,4,6,6,7,1,1,2,8,19,0,,1,,11,6,2,2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",R_umjfVOTXvy056Y9
4/12/2022 3:23,4/12/2022 3:29,0,100,367,1,4/12/2022 3:29,R_22rWFBBahU6Nayi,,,,,anonymous,EN,,,,,,,The tallest person I know can easily reach the top shelves in stores and has no issue reaching for anything. They are also a very talented basketball player because of their height. This person is unable to go through most doorways without ducking and has to be careful not to hit his head in certain situations.,The shortest person I know has no issue fitting into small spaces. She is unable to reach higher up shelves and cupboards in her house and relies a lot on help for reaching higher up spaces.,8.767,144.34,179.46,3,5,5,3,3,1,5,6,22,1,,1,,51,5,3,2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",R_22rWFBBahU6Nayi
4/12/2022 3:27,4/12/2022 3:30,0,100,181,1,4/12/2022 3:30,R_3prJre01UgLGw2n,,,,,anonymous,EN,"This person has the means to purchase anything they may need or want, and it influences them positively. They're in a good position in life and don't typically want for much. They're able to save and plan ahead for emergencies.","This person doesn't have the means to do what they want. They typically use broken or used items and can't upgrade or spend as they want. They will typically avoid going out because of this, which can cause them to be reserved and/or miss out on things with friends.",11.546,11.546,111.901,1,,,,,,,7,7,7,1,1,1,3,33,1,,1,,5,3,5,4,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:107.0) Gecko/20100101 Firefox/107.0,R_3prJre01UgLGw2n
4/12/2022 3:23,4/12/2022 3:30,0,100,416,1,4/12/2022 3:30,R_1cS101vpLbxrZwJ,,,,,anonymous,EN,"They can buy any vehicle they wish and begin any hobby they please with a lot of expensive supplies at the outset. They live in a beautiful home and outsource all their housework and yardwork. Their health isn't very good because they indulge in any foods that suit them and drink alcohol every day.
","I don't really personally know anyone who is very low-income, but many who are financially challenged because of their habits.",26.817,187.132,273.619,2,,,,,,,7,6,6,1,1,1,3,66,0,,1,,45,1,2,4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",R_1cS101vpLbxrZwJ
4/12/2022 3:24,4/12/2022 3:30,0,100,350,1,4/12/2022 3:30,R_2pMHhB9arZmNvv3,,,,,anonymous,EN,"The most financially capable member of our family is my wife; she bought a home for her family and takes care of all the household expenses. She is the vice president of a hospital system, and because to her wealth, we are able to live comfortably.","Since he works as a server and barely makes ends meet, I guess my brother is the least resourceful person I know in terms of money. Because of his manner of life, she abuses drink and drugs and frequently gets into trouble.",11,178.353,210.051,12,,,,,,,5,4,4,3,1,2,7,53,0,,1,,19,6,3,5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.68",R_2pMHhB9arZmNvv3
4/12/2022 3:12,4/12/2022 3:31,0,100,1163,1,4/12/2022 3:31,R_1Nq858f9P7ymb5y,,,,,anonymous,EN,"They can do whatever they want or not want to do. They can buy whatever they want, they can spend money and not have to worry. They do not need to penny pinch.","They have to watch everything they are spending their money on. They can't buy whatever they want,  only what they need. They do not have the money to spend foolishly and have to work hard.",325.328,381.772,420.535,2,,,,,,,1,1,1,7,1,7,2,57,0,,1,,22,2,3,4,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",R_1Nq858f9P7ymb5y
4/12/2022 3:25,4/12/2022 3:31,0,100,390,1,4/12/2022 3:31,R_1Ia5RJ18R5Bnaub,,,,,anonymous,EN,She can do whatever she wants. She's always had money and then got a job that made lots of money (after she networked her way through Stanford) and then inherited a lot of money. She has never had to make hard economic choices. She buys new houses when she wants. Retired early. Shops a lot. Travels in luxury. But (until recently) voted Republican because people need to be more self sufficient and stop depending on the government.,"When their godnephew accidntally burned part of their house (they own it but it's in the woods and has cracks through the walls and a literal frog infestation), the firefighters who responded were so sad at teh condition of their home that they later volunteered to help repair it. The Covid relief money made such a difference. They have a cell phone plan. They bought a used (old, tiny) pickup truck. When they got m arried, they asked = instead of gifts = if everyone could chip in to have their septic tank fixed. ",14.503,124.566,267.414,4,,,,,,,7,6,6,1,1,1,6,52,0,,1,,49,3,6,5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",R_1Ia5RJ18R5Bnaub
4/12/2022 3:23,4/12/2022 3:32,0,100,501,1,4/12/2022 3:32,R_2v81Dq8Iwj5Xs7y,,,,,anonymous,EN,"He is in a position to start thinking about how he can use his wealth to help others. He is so wealthy that he is devoting a lot of his time helping people and thinking how best he can use the balance of his time. He is worry free about his finances, and spends a lot of his time travelling with his family.",This person is in essence homeless. He has no economic resources and his job pays very little. He has been living in his car for the past 3 months. He has very few choices as he cannot afford anything. He is currently looking for an apartment but is finding it hard to find one which he can afford.,21.896,306.502,338.779,6,,,,,,,5,5,5,2,1,4,7,62,1,,1,,5,6,5,5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",R_2v81Dq8Iwj5Xs7y
4/12/2022 3:21,4/12/2022 3:32,0,100,621,1,4/12/2022 3:32,R_1ezzoW5JgpokZzG,,,,,anonymous,EN,He and his wife are able to buy a brand new house and cars. They are able to save for the future with ease and still go on vacations. They both still work seven days a week and in order to keep their lifestyle they both have to work.,He and his wife can not make ends meet and are behind on the bills every month. He is on government assistance and is stressed beyond his limits.  He and his wife work full time and can not go on vacations or buy basic simple needed items.,34.924,406.739,407.909,16,,,,,,,7,3,3,4,1,6,3,45,0,,1,,34,2,2,5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",R_1ezzoW5JgpokZzG
4/12/2022 3:29,4/12/2022 3:33,0,100,239,1,4/12/2022 3:33,R_3sAqWCsJUYjCCdi,,,,,anonymous,EN,"He can afford a very nice car and apartment, shop without concern, buy what he wants, and not ha ve to consider his finances every time he makes a decision. ","They can do almost nothing, they are stressed every time they make a decision.",41.759,133.961,134.483,3,,,,,,,7,6,4,2,1,2,6,33,0,,1,,33,3,5,4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",R_3sAqWCsJUYjCCdi
4/12/2022 3:31,4/12/2022 3:34,0,100,218,1,4/12/2022 3:34,R_22mj6gB75PA6r6t,,,,,anonymous,EN,They have more money to do the things that they like to do. They are also able to give their family a better way of life and enjoy experiences they want to enjoy such as traveling overseas,this person rarely ever leaves their house and they are usually unable to attend family gatherings and travel or enjoy the things that they like to enjoy due to a lack of financial ability,14.957,104.509,107.291,4,,,,,,,3,5,3,2,1,5,8,27,0,,1,,21,6,6,5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",R_22mj6gB75PA6r6t
